key,spp,locality,lat,lon,COI
JRD270,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD271,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD272,Papilio machaon dodi,"Canada: Alberta, Morrin Bridge",51.64462,-112.92085,M
JRD273,Papilio machaon dodi,"Canada: Alberta, Morrin Bridge",51.64462,-112.92085,M
JRD274,Papilio machaon dodi,"Canada: Alberta, Morrin Bridge",51.64462,-112.92085,M
JRD275,Papilio machaon dodi,"Canada: Alberta, Horsethief Canyon",51.50378,-112.92857,M
JRD276,Papilio machaon dodi,"Canada: Alberta, Horsethief Canyon",51.50378,-112.92857,M
JRD277,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD278,Papilio machaon dodi,"Canada: Alberta, Horsethief Canyon",51.50378,-112.92857,M
JRD279,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD280,Papilio machaon dodi,"Canada: Alberta, Morrin Bridge",51.64462,-112.92085,M
JRD281,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD282,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD283,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD284,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD285,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD286,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD287,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD288,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD289,Papilio machaon dodi,"Canada: Alberta, Morrin Bridge",51.64462,-112.92085,M
JRD290,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD291,Papilio machaon dodi,"Canada: Alberta, Orkney Lookout along Red Deer River",51.54887,-112.89692,M
JRD292,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD293,Papilio machaon dodi,"Canada: Alberta, Lousana",52.07838,-113.00907,M
JRD295,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD296,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD297,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD298,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD299,Papilio machaon dodi,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,M
JRD300,Papilio zelicaon ,"Canada: Alberta, Wintering Hills East",51.25993,-112.45478,Z
JRD301,Papilio zelicaon ,"Canada: Alberta, Wintering Hills West",51.2552,-112.62614,Z
